epoch,psnr.val,ssim.val,d_loss.avg,d_score.avg,g_loss.avg,g_score.avg,epoch_time.val,sample_speed.avg
0,26.276280677266925,0.8893342614173889,0.9998400390410109,0.5212200324486791,0.0012201184173255245,0.5210600713944369,1320.0368156433105,1052.6316344470267
1,26.150000480560994,0.8682969212532043,0.9997045526401602,0.5175311150167772,0.0011548063571495619,0.517235667585469,1265.8901591300964,1049.676373952179
2,26.1276171291909,0.8788951635360718,0.9995394397458489,0.5138094363976821,0.0011421198108260311,0.5133488762388222,1281.833306312561,1047.9585626127423
3,26.432350518177252,0.8709061145782471,0.9993231359882637,0.5099313410815361,0.0011239646851137963,0.5092544770697999,1283.66077709198,1050.8216586023298
4,26.366544987684335,0.8726171255111694,0.9989982958939626,0.5054642317011107,0.001125441195070483,0.5044625276069847,1270.4433102607727,1043.8815273553366
5,26.36867830348711,0.8710774779319763,0.9985121292747754,0.5009763086085125,0.0011284800826015023,0.4994884378713765,1322.250250339508,1041.2236832168196
6,26.3260917245108,0.879076361656189,0.9976993672472301,0.49650762596433395,0.0011342030388147137,0.494206993211564,1407.4732131958008,1021.3580776276975
7,26.302287768466496,0.881922721862793,0.9957766975824994,0.49256611875281825,0.0011628509561084374,0.48834281678777003,1413.4250252246857,1017.520819218475
8,26.32199898055573,0.870733916759491,0.9894085806384266,0.49144406645275135,0.0011493374399437334,0.48085264726984894,1367.407527923584,1026.7062629758743
9,26.141767415281876,0.8661713600158691,0.9750470890463304,0.49407861849291623,0.0011685721097524455,0.46912570656251185,1355.2061972618103,1023.0100633847251
10,25.997536135731274,0.8802893757820129,0.9510200153485381,0.49880600293620314,0.0013679020043233965,0.44982601768917124,1321.6569142341614,1029.0108136683891
11,25.87376996211647,0.856791079044342,0.9454906840253915,0.4944678513207438,0.0013148871137570073,0.439958535286602,1314.9541881084442,1034.3411613257515
12,26.09599879970741,0.8706457614898682,0.9366756368884079,0.49946342526579934,0.0013424671586058723,0.4361390625711063,1375.3524827957153,1024.894691140666
13,26.063837927463144,0.8735426664352417,0.9195736008082076,0.5192614944933129,0.0013753756078415745,0.4388350949620457,1261.7801597118378,1046.5901567651213
14,25.074255746498988,0.8385992646217346,0.9121557092256873,0.4848775847864856,0.0014234939322089978,0.3970332932438877,1297.210412979126,1039.1804991518575
15,25.006310471870385,0.8442740440368652,0.9258676009134346,0.49009062649248314,0.0013911388968398458,0.41595822700109186,1283.7385506629944,1039.0445779854444
16,25.100553322136182,0.8391383290290833,0.9208627812248721,0.49218562666436944,0.0014906825047951537,0.41304840678743704,1279.2137203216553,1040.1671678278146
17,24.867528998273762,0.8396601676940918,0.9222938503554875,0.4564044201831452,0.0014282093671571872,0.37869827133669653,1257.3684930801392,1046.3102485743636
18,25.64441958940984,0.8736600875854492,0.926663475147591,0.47309180442876353,0.0014279174425265641,0.3997552799216471,1276.4430894851685,1038.3417384833695
19,25.264664303731053,0.8468509316444397,0.9417626993904868,0.46925985691346805,0.0014582431763174202,0.41102255616399597,1260.9200491905212,1041.113534971118
20,25.658253805867382,0.8713472485542297,0.9295424346824726,0.4329633945189744,0.0014508626183500882,0.362505830053112,1255.680223941803,1048.5365979094752
21,25.543168842885247,0.868364691734314,0.9459578140104989,0.4643450397000515,0.0014860498850175412,0.4103028540381139,1256.4627704620361,1044.778412365757
22,25.626534672356055,0.8360695242881775,0.9296599113245845,0.45459679126906194,0.0014272317891172869,0.38425670269187623,1248.101438999176,1042.671790335045
23,25.616459332080193,0.8592090010643005,0.9380726643937002,0.4554693320219656,0.0014281650870633822,0.39354199632037457,1263.244461297989,1042.9437063762305
24,25.723260896168885,0.8719431161880493,0.9482218493565285,0.4673124521279888,0.0014341633604875923,0.41553430155003,1304.1718888282776,1038.1412033316321
25,26.003386841237564,0.8432323336601257,0.9656127175207523,0.4188388732048295,0.0014830432478807492,0.38445159005556556,1268.5339694023132,1042.8847358568726
26,25.5225872027596,0.8413842916488647,0.9567827553009444,0.4078863685369444,0.0014744716617559677,0.3646691235670127,1457.9501786231995,1021.8494711798105
27,26.113204251463188,0.8712955117225647,0.9440417737959863,0.4375951419458639,0.0014843885048138473,0.3816369159532775,1559.542991399765,1009.052621551811
28,25.756698538647832,0.8600060343742371,0.9572916523539287,0.46327257346358897,0.0014211142391327852,0.4205642258041173,1446.2180082798004,1018.2634502675442
29,25.502144645370496,0.8659499883651733,0.9414227097559509,0.4320982430847905,0.0014760250556809407,0.3735209519116522,1272.114565372467,1043.6375491966185
30,25.394457403048875,0.8298558592796326,0.9653804196246472,0.4443351035216571,0.0014836331241770825,0.4097155215939759,1290.2576484680176,1038.336874452984
31,25.318196351679813,0.8333719968795776,0.9380003151168926,0.45335112948366685,0.0014830483892084964,0.3913514448908998,1333.0220510959625,1028.6799908729447
32,25.946774602260056,0.8755120038986206,0.9447185212878777,0.37247793341009355,0.0015279013746537916,0.317196455536236,1304.9149975776672,1047.5848141436425
