epoch,psnr.val,ssim.val,d_loss.avg,d_score.avg,g_loss.avg,g_score.avg,epoch_time.val,sample_speed.avg
0,19.645067088943627,0.6062598824501038,0,0,0.006941026787075412,0,737.0838077068329,1783.9758059328224
1,19.778316436960537,0.5860726237297058,0,0,0.006142740818410442,0,733.6221401691437,1803.2312947625712
2,19.799314769109778,0.5941914319992065,0,0,0.006093170865188367,0,736.9937808513641,1788.4769770192086
3,19.850968452182695,0.6160213947296143,0,0,0.005831320545488185,0,738.0818574428558,1790.0649853983673
4,19.892133949147006,0.6185306310653687,0,0,0.0057586831386204065,0,737.6468148231506,1786.6232142157396
5,19.887674471634135,0.6045068502426147,0,0,0.005682822952203296,0,738.3964884281158,1790.9541237747417
6,19.879691584776428,0.6387275457382202,0,0,0.005692157971890097,0,730.2810080051422,1805.2621268684559
7,19.95359257709737,0.5993893146514893,0,0,0.005619824917421311,0,734.8675508499146,1797.638115778686
8,19.935669305010897,0.6216930747032166,0,0,0.005575518913540638,0,730.792090177536,1809.2190005807868
9,19.97901895976946,0.5789951682090759,0,0,0.00557132723920799,0,736.2492415904999,1790.1204494375706
10,19.979853905547927,0.625933051109314,0,0,0.005551161489297788,0,736.869283914566,1790.9597399137806
11,19.947355612033604,0.6106606125831604,0,0,0.005520673013470179,0,734.3107845783234,1798.8948123789623
12,19.941604712369262,0.6010065078735352,0,0,0.005518434605804029,0,736.8930959701538,1785.8325352746401
13,19.982831503667168,0.5832675099372864,0,0,0.005532190697059202,0,732.5469691753387,1805.0050937622361
14,19.992001371138098,0.6213456988334656,0,0,0.005523098402235147,0,736.3046469688416,1789.545818403182
15,19.971203706107023,0.5923226475715637,0,0,0.005492798401229679,0,736.3885774612427,1790.6252908749896
16,20.013853092604972,0.5792595148086548,0,0,0.005473218625876588,0,734.6315588951111,1797.3989843538502
17,19.96419461556693,0.62679523229599,0,0,0.00548200670862012,0,734.3771979808807,1797.3777532699323
18,20.00289263212803,0.6351689100265503,0,0,0.005475200369598699,0,735.4226160049438,1792.6323773510233
19,20.03346204626434,0.5908238291740417,0,0,0.005470698644683661,0,736.7177686691284,1792.2155979312745
20,19.99182310968324,0.5919590592384338,0,0,0.005455681222112297,0,734.0227627754211,1797.3128196028294
21,20.017505501189934,0.6160469055175781,0,0,0.005468442041815801,0,739.1510977745056,1789.7466347054333
22,20.025547264580304,0.61939936876297,0,0,0.005469588423864343,0,735.8052513599396,1792.1717804116822
23,20.01005877096391,0.5985472202301025,0,0,0.005460847588767717,0,736.1856863498688,1791.3413132832488
24,20.000820321338356,0.6126165986061096,0,0,0.005431464017448138,0,736.8096807003021,1792.299640158453
25,19.986445603174786,0.5715717673301697,0,0,0.0054606995890037965,0,731.8646478652954,1804.2078129738397
26,20.03871140862191,0.6139929890632629,0,0,0.005449476165248068,0,730.760436296463,1809.240768578693
27,20.0670982728641,0.5980361104011536,0,0,0.005450799655760978,0,731.0567862987518,1804.4351467275433
28,20.002592627247722,0.6152485013008118,0,0,0.005438185112419085,0,734.9159417152405,1802.2698937588502
29,19.994894689689144,0.6086844801902771,0,0,0.005478454453518966,0,734.12140417099,1798.5499728304203
30,19.990489402195387,0.6457554697990417,0,0,0.005437200010572147,0,733.3135051727295,1802.1707864880002
31,20.016943131968716,0.6372864246368408,0,0,0.005434283680495593,0,729.995924949646,1815.3571746180598
32,19.985761851656793,0.6235523223876953,0,0,0.005419595071861704,0,731.1186401844025,1814.0576827805646
33,19.982641222074655,0.5910560488700867,0,0,0.005426659890216776,0,730.5957996845245,1810.2090170862566
34,20.012340123011313,0.6058691143989563,0,0,0.00542014283923568,0,730.3211114406586,1814.6697720186237
35,20.042707840155973,0.6087685227394104,0,0,0.005426842322564504,0,731.8550443649292,1811.6652363129795
36,19.982184778396732,0.6322181820869446,0,0,0.00541245087717923,0,734.231543302536,1805.2877736959326
37,19.999027075630572,0.5826033353805542,0,0,0.0054275862754696305,0,730.2466666698456,1816.3639882214388
38,20.08577594550158,0.6392030119895935,0,0,0.005414533775372358,0,732.8046770095825,1808.6293137087753
39,20.059846627814206,0.5893315076828003,0,0,0.005411545692938942,0,730.7058341503143,1812.6174728616493
40,19.970523888850582,0.599625289440155,0,0,0.00541033076041459,0,730.9391117095947,1811.7299764755626
41,20.061092232784347,0.602493405342102,0,0,0.005438844307013478,0,731.6316108703613,1812.9690423301618
42,20.01919316169543,0.6167307496070862,0,0,0.00543501902298144,0,732.8734400272369,1807.6123734698026
43,20.021798096925878,0.6291829347610474,0,0,0.005417504014733892,0,730.7430834770203,1816.367989131518
44,20.01768007165881,0.5649257898330688,0,0,0.005402479956302863,0,731.9051206111908,1807.6681893283246
45,20.027298315451812,0.6190308928489685,0,0,0.005406181639493941,0,730.5618731975555,1815.720634336611
46,20.006447403324195,0.5965625643730164,0,0,0.005401185003677301,0,732.9459908008575,1805.1204356893754
47,20.097843322255763,0.6131082773208618,0,0,0.005415727736727966,0,730.8643047809601,1812.9322681064643
48,20.018803226853986,0.593660831451416,0,0,0.005392676014291252,0,730.336480140686,1812.3987217562487
49,20.027237401142028,0.6485063433647156,0,0,0.005410371848580229,0,734.5599234104156,1805.3487415585128
50,20.045872504577595,0.633854866027832,0,0,0.005406634419688212,0,730.9072539806366,1811.8140723992003
51,19.994636595980825,0.5840562582015991,0,0,0.005398851915166809,0,732.3816375732422,1808.9350483192636
52,20.002355853797475,0.6138256788253784,0,0,0.005376935843406223,0,731.6967945098877,1811.475783093112
53,20.074157052869047,0.6196886301040649,0,0,0.005417916226246349,0,733.9359681606293,1804.7060624274704
54,20.07040203525129,0.6339513063430786,0,0,0.005398343350658273,0,732.6087019443512,1807.837706335081
55,20.072229602455526,0.5925463438034058,0,0,0.005396727623902246,0,728.5396542549133,1819.3614566874442
